,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,cluster
107,108,350000,1,1,2,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,3.0
109,110,360000,1,2,1,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,3.0
116,117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0,3.0
118,119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,0,3.0
119,120,240000,2,2,2,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0,3.0
121,122,450000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
131,132,240000,1,1,2,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,0,3.0
135,136,240000,1,2,1,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,0,3.0
140,141,240000,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
149,150,260000,2,1,1,60,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,0,3.0
152,153,350000,1,1,2,41,1,-1,-1,-1,-1,-2,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0,3.0
162,163,290000,1,3,1,47,-1,-1,-1,-1,0,-1,1234,396,396,792,396,423,396,396,792,0,423,369,0,3.0
166,167,370000,1,1,2,50,-2,-2,-2,-2,-2,-2,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0,3.0
170,171,270000,1,2,2,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0,3.0
171,172,300000,2,1,2,30,-1,-1,-1,-1,-1,-1,688,3280,0,4340,2672,800,3288,0,4340,2672,800,746,0,3.0
174,175,360000,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,77,0,0,0,0,77,0,0,0,0,0,3.0
180,181,240000,1,1,2,37,-1,-1,2,0,0,-1,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,0,3.0
182,183,500000,2,1,1,47,0,0,0,0,0,0,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,20000,0,3.0
186,187,360000,2,1,2,32,1,-1,-1,-1,-1,-1,2616,57077,5287,68445,13881,16240,57087,5295,68454,13889,16250,38313,0,3.0
190,191,310000,1,1,2,32,0,0,0,0,0,0,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,5060,4223,0,3.0
198,199,500000,2,1,1,34,-2,-2,-2,-1,-1,-1,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,0,3.0
209,210,330000,2,1,1,50,-1,-1,-1,-1,-2,-2,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,0,3.0
216,217,240000,2,2,1,36,1,-2,-2,-2,-2,-2,-946,-946,-946,-946,-946,-946,0,0,0,0,0,0,1,3.0
219,220,310000,2,1,2,38,-1,-1,-1,-1,-2,-2,1424,4542,126,0,0,0,4542,126,0,0,0,0,0,3.0
223,224,320000,2,2,2,33,0,0,0,0,0,0,91653,94037,108597,65913,43805,33263,10042,18832,2117,2076,5045,3754,0,3.0
226,227,350000,1,3,1,44,-1,-1,-1,-1,-1,-2,3265,2686,1864,569,0,0,2686,1864,569,0,0,0,0,3.0
246,247,250000,2,2,1,75,0,-1,-1,-1,-1,-1,52874,1631,1536,1010,5572,794,1631,1536,1010,5572,794,1184,0,3.0
248,249,330000,1,1,2,25,0,0,0,0,2,0,46140,45781,48139,51137,39450,25358,2504,4007,5056,74,1023,2566,0,3.0
254,255,400000,2,2,2,29,-1,0,-1,-1,-1,-1,19532,3719,1453,4944,1896,2486,3127,1469,4968,1905,2494,862,0,3.0
260,261,510000,2,1,2,29,0,0,0,0,0,0,78331,99414,107686,103776,87265,36739,40010,20094,5000,5001,25365,65000,0,3.0
263,264,230000,2,1,2,37,-2,-2,-2,-2,-2,-2,2283,50815,0,0,299,338,51315,0,0,299,338,0,0,3.0
272,273,260000,2,1,2,58,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
274,275,360000,2,2,2,28,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
276,277,460000,1,1,1,40,2,-1,-1,-1,-1,-1,171,2715,-13,2641,-10,22535,2728,0,2654,0,22545,0,1,3.0
289,290,240000,2,2,1,46,0,0,0,0,0,0,8751,9900,10605,10765,11765,4311,1295,1000,1000,1000,1000,1000,0,3.0
290,291,280000,1,1,2,33,-1,-1,-1,-1,-1,-1,898,898,325,898,325,-339603,898,325,898,325,0,345293,1,3.0
298,299,280000,2,1,1,36,0,0,0,0,0,0,58983,60788,63225,29701,30172,30771,2755,3463,1300,1100,1100,2000,0,3.0
299,300,300000,1,1,2,34,1,-2,-1,0,-1,-1,0,0,13001,12601,19595,203,0,13001,0,19595,203,0,1,3.0
301,302,440000,2,1,2,36,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,162000,0,0,3.0
306,307,500000,2,2,1,36,-1,-1,-1,-1,-1,-1,10483,23956,0,8500,4590,0,23962,0,8500,4590,0,0,0,3.0
307,308,300000,2,2,1,27,1,-1,-1,-2,-2,-2,0,5215,0,0,0,0,5215,0,0,0,0,0,0,3.0
310,311,400000,2,2,1,38,-1,0,-1,-1,0,-1,3697,3600,1354,5322,5103,2077,1000,1354,5322,6,2386,9085,0,3.0
317,318,260000,2,3,1,53,1,-1,-1,-2,-2,-1,0,165,526,452,397,485,165,526,452,397,485,459,0,3.0
323,324,230000,2,2,1,28,0,0,0,-2,-1,-1,26361,18826,1100,2100,767,6173,1710,1100,1000,767,6173,1000,1,3.0
328,329,340000,1,2,1,55,-2,-1,-1,-2,-2,-2,50396,44665,8300,2190,24599,7416,44665,8321,2190,24599,7416,77195,0,3.0
333,334,400000,2,2,1,43,1,-2,-2,-2,-1,-1,0,0,0,0,1600,78388,0,0,0,1600,78388,0,0,3.0
340,341,240000,2,2,2,30,-2,-2,-2,-2,-2,-2,92,92,92,0,92,0,92,92,0,92,0,1883,0,3.0
352,353,380000,1,1,2,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
359,360,260000,1,1,1,34,-1,-1,-1,-1,-1,-1,49657,291,51058,2351,34039,291,291,51058,35696,34039,291,291,0,3.0
361,362,320000,2,2,2,30,0,0,0,0,0,0,71305,71151,72029,72849,74374,74610,2589,2568,2570,2661,2781,2500,0,3.0
364,365,230000,2,1,2,35,-2,-2,-2,-2,-2,-2,761,300,399,665,576,613,300,399,665,576,613,520,0,3.0
365,366,330000,2,2,1,56,1,-1,-1,-2,-1,-1,-9,1520,1488,0,3965,8676,1529,1507,0,3965,8676,384,0,3.0
368,369,300000,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
389,390,260000,1,1,1,30,-1,-1,-1,0,0,-1,1131,291,582,291,0,291,291,582,0,0,130291,651,1,3.0
390,391,350000,1,1,1,38,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
391,392,280000,2,2,1,39,1,-1,0,0,0,0,-1312,35918,37297,37154,32581,33316,38621,2000,1130,922,1011,5000,1,3.0
394,395,360000,1,1,1,51,-1,-1,-1,-2,-2,-2,38000,25000,0,0,0,0,25000,0,0,0,0,0,0,3.0
408,409,320000,2,1,2,27,0,0,0,0,0,0,55607,62893,59001,61565,59508,66541,11404,8232,10450,9697,16477,11341,0,3.0
412,413,230000,2,1,1,32,1,-2,-1,-1,-1,-1,0,0,2809,4595,792,3404,0,2809,4606,792,3404,0,0,3.0
413,414,230000,2,2,2,27,1,2,0,0,0,0,13668,12647,13135,10596,9218,5068,0,1064,423,313,1000,4641,1,3.0
414,415,480000,2,3,1,41,-2,-2,-2,-2,-2,-2,14867,26665,199960,9033,19371,22593,26734,199982,9033,19371,22593,2000,0,3.0
419,420,260000,2,1,2,36,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
422,423,230000,2,2,2,38,-1,-1,-1,-1,-1,-1,10237,2795,1350,371,2980,0,2795,1350,371,2980,0,2213,0,3.0
434,435,360000,1,3,1,55,0,0,-1,-1,-1,-2,9210,8485,17231,1770,0,0,6015,17454,1775,0,0,0,0,3.0
450,451,380000,1,1,1,51,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
458,459,230000,2,2,1,41,-1,-1,-1,-1,-1,-1,819,18163,5473,8162,6985,9130,18163,5654,12887,6985,9130,6554,0,3.0
462,463,290000,2,2,2,26,0,0,0,-1,-1,0,20807,99860,100000,3015,23473,1448,80000,3000,3015,23473,1148,4900,0,3.0
467,468,230000,1,2,2,32,0,0,0,0,0,0,28114,28006,25000,22046,19860,19831,1610,1224,655,627,620,500,0,3.0
468,469,500000,1,2,1,38,0,0,0,-1,0,0,59372,49677,49515,42568,48268,51481,10026,7241,50091,25000,5078,2132,0,3.0
478,479,500000,2,1,1,38,-1,2,-1,-1,-1,0,600,300,501,300,600,450,0,501,300,600,300,600,0,3.0
480,481,250000,2,2,1,40,0,0,0,0,-1,2,44930,137101,90801,0,1069,919,120041,4435,0,1069,0,67619,0,3.0
486,487,230000,2,1,1,42,-1,-1,-1,-1,-1,-1,6865,15111,13165,0,10500,6992,15111,13165,0,10500,6992,0,0,3.0
489,490,260000,2,1,1,34,-1,-1,-1,-1,-1,-1,16426,6088,4663,3885,4414,2514,6277,4663,4140,4414,2646,7725,0,3.0
498,499,250000,2,1,1,49,-1,-1,-2,-1,-1,-1,66,0,0,120,-6,1639,0,0,120,6,1645,0,0,3.0
512,513,360000,1,1,2,28,-1,-1,-1,-1,-1,-1,20223,52962,3978,1743,2828,50537,53228,3997,1750,2853,51041,3219,0,3.0
521,522,410000,2,2,2,27,1,-1,0,0,0,0,-58,32991,36465,44310,62408,61420,33049,16000,8700,18775,15000,5350,0,3.0
522,523,360000,1,1,2,28,-1,-1,-1,0,0,-1,1210,820,64644,125984,106584,125557,390,75720,62520,17000,132200,167000,1,3.0
525,526,220000,2,2,2,27,-1,-1,-1,-1,-1,-1,1692,13250,433,1831,0,2891,13250,433,1831,0,2891,153504,0,3.0
528,529,360000,1,1,2,26,1,-2,-2,-2,-1,-1,-8,-8,-8,-8,1677,2600,0,0,0,1685,2613,0,0,3.0
544,545,360000,2,1,1,34,-1,0,0,-1,0,-1,12339,10138,23912,9785,166,2142,10000,13912,9785,0,2142,4230,0,3.0
545,546,390000,2,1,2,31,0,0,0,0,0,0,50620,43220,44237,46495,47751,51941,5000,3000,3000,2000,5000,5000,0,3.0
548,549,230000,2,1,2,28,-1,-1,0,0,0,0,2403,7357,9752,12608,10797,20539,7357,2566,3000,1000,10000,2000,0,3.0
553,554,240000,2,1,1,42,1,-1,-1,-2,-2,-2,0,6370,0,0,0,0,6370,0,0,0,0,0,0,3.0
555,556,630000,2,2,1,47,0,0,0,-1,-1,-2,37850,68187,1207,2632,8654,0,38187,1207,2632,8654,0,4981,0,3.0
560,561,270000,1,1,2,34,-1,-1,0,-1,-1,-1,5780,12006,15736,6621,2457,14923,12006,5736,6621,2457,14923,1712,0,3.0
561,562,360000,2,2,2,52,-2,-2,-2,-2,-2,-2,640,2113,-6,999,944,-3,2231,0,1005,948,0,789,0,3.0
563,564,360000,1,2,2,38,-1,0,0,0,0,0,108351,111201,63146,63723,65108,66078,8005,8004,5000,5000,5000,105700,0,3.0
564,565,390000,2,1,2,45,2,2,2,-1,2,2,834,155,-1690,4240,3346,2698,1,1693,6940,7,1230,3,0,3.0
565,566,250000,2,3,2,35,-2,-2,-2,-2,-2,-2,7244,8472,1738,6706,2391,11082,8514,1751,6739,2403,11137,13407,0,3.0
567,568,360000,1,1,2,28,-1,-1,-1,-1,-1,-1,7071,401,3545,10540,10132,6220,1510,3575,10573,10155,6240,16071,0,3.0
569,570,270000,2,1,1,40,0,0,0,-2,-2,-2,18751,5706,0,0,0,0,1000,0,0,0,0,0,0,3.0
572,573,350000,1,1,2,33,-1,-1,-1,-2,-2,-1,10900,10478,-22,-22,-22,4532,10530,0,0,0,4554,0,0,3.0
576,577,270000,2,1,2,28,-1,-1,-1,0,0,0,475,475,5691,37526,50565,48888,475,5691,34000,14000,8000,15000,0,3.0
589,590,260000,2,2,1,31,-1,-1,0,0,-1,-1,5841,23194,62361,67057,17024,18659,23194,50000,11500,17024,18659,38923,0,3.0
590,591,230000,2,1,1,30,0,0,0,-1,0,0,30341,25981,24092,65840,56538,51522,5000,5000,65840,2000,2000,10000,0,3.0
599,600,300000,2,2,1,36,-1,-1,2,0,-1,-1,-475,5191,4606,2303,2768,65373,10000,0,0,2768,65373,10780,1,3.0
600,601,310000,2,2,1,43,0,0,0,0,0,0,23396,24182,25135,25095,25356,25514,1426,1379,867,898,933,807,0,3.0
608,609,450000,2,3,1,36,-2,-2,-2,-2,-2,-2,3996,9120,8528,0,6368,3000,9120,8528,0,6368,3000,3238,0,3.0
611,612,360000,2,1,2,29,0,0,-2,-2,-2,-1,3280,0,0,0,0,2650,0,0,0,0,2650,0,1,3.0
623,624,360000,2,2,1,37,1,-2,-2,-2,-1,-1,0,0,0,0,166,541,0,0,0,166,543,4268,0,3.0
627,628,230000,1,1,1,39,-1,-1,-1,-1,-1,-1,660,660,660,660,660,660,660,660,660,660,660,660,0,3.0
638,639,400000,2,1,2,40,-1,-1,-1,-1,-1,0,60125,1981,4521,20472,76933,173599,1981,4521,20500,77000,100000,7700,0,3.0
650,651,270000,1,1,2,32,-2,-2,-2,-2,-2,-2,0,0,1100,300,-200,-200,0,1100,300,0,0,0,0,3.0
651,652,240000,2,2,2,26,0,0,-1,-1,-1,-1,14348,7500,7816,7500,7500,14497,1000,7816,7500,7500,14497,500,0,3.0
653,654,450000,2,1,1,42,1,-2,-2,-1,-1,-2,-200,-200,0,42000,0,0,0,200,42000,0,0,0,1,3.0
655,656,280000,1,2,1,39,-2,-2,-2,-2,-2,-2,2082,3557,5623,5400,3866,3526,3597,5672,5427,3885,3543,3519,1,3.0
656,657,290000,2,3,2,27,0,0,0,0,-1,-1,13820,15614,16293,7760,2000,0,2000,1300,0,2000,1000,0,0,3.0
659,660,280000,2,2,2,28,-1,2,-1,-1,0,-1,427,298,1179,1714,2875,1047,0,1179,1714,1290,1047,1000,0,3.0
678,679,300000,2,2,2,31,-1,-1,-1,-1,0,-1,3345,1083,4339,7423,4059,2508,1087,4355,7423,0,2508,4141,0,3.0
681,682,230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,1024,0,0,0,0,1024,0,0,0,0,0,3.0
682,683,230000,2,1,1,35,0,0,0,0,-2,-2,4259,5432,6182,0,0,0,1250,1000,0,0,0,0,0,3.0
685,686,360000,1,1,1,47,-1,-1,-1,0,-1,-1,1548,-32,177639,174397,4852,4125,0,177671,3508,4876,4188,10007,0,3.0
694,695,320000,1,2,1,37,-2,-2,-2,-2,-2,-2,43528,498,429,14257,5417,2967,500,431,14328,5439,2980,5028,0,3.0
698,699,280000,1,1,1,41,-2,-2,-2,-2,-1,0,28026,41302,51500,35752,3955,13969,41346,52110,35752,3955,13939,4437,0,3.0
699,700,300000,2,1,2,31,0,0,0,0,2,-1,43610,43280,36156,30305,30155,561,1655,1797,750,0,561,500,0,3.0
700,701,400000,2,2,2,40,-2,-2,-2,-2,-1,-1,0,8235,0,0,1524,0,8235,0,0,1524,0,385,0,3.0
712,713,360000,2,1,1,30,1,2,-1,0,-1,-1,18886,14249,3821,2404,319,0,0,3828,2000,319,0,0,0,3.0
714,715,400000,2,1,2,31,-2,-2,-2,-2,-2,-2,203,767,664,1250,-10,2174,770,667,1256,0,2184,0,0,3.0
723,724,320000,1,1,1,47,-1,-1,-1,-1,-1,-1,9192,13920,4022,316,8420,316,13942,4022,316,8420,316,516,0,3.0
726,727,360000,2,2,2,39,-1,-1,-1,0,-1,-1,12865,4462,19560,8894,5329,998,4484,19623,222,5355,998,9004,0,3.0
727,728,450000,1,2,2,33,-2,-2,-2,-2,-2,-2,-14,2568,-387,-387,-387,113,2582,0,0,0,500,2515,0,3.0
728,729,330000,2,2,2,29,0,0,0,0,-1,-1,49549,133957,128212,79407,8875,49880,90000,3000,5000,8875,49880,519,0,3.0
737,738,610000,2,1,2,31,0,0,0,0,0,0,142764,126606,67887,58397,105301,105965,6540,2100,2150,50000,4700,2000,0,3.0
744,745,260000,2,2,1,46,-2,-2,-2,-2,-2,-2,29484,28592,16869,12713,10420,12532,10000,3000,12713,10420,12532,12151,0,3.0
753,754,500000,2,2,2,43,-1,0,0,0,0,0,43346,43976,39032,29092,22725,11590,4006,2383,1126,782,596,1572,0,3.0
754,755,470000,2,2,1,36,-1,0,0,-1,-1,-1,873,1593,1518,285,688,2100,1005,1000,285,688,2100,1014,0,3.0
757,758,230000,2,2,1,30,2,0,-1,-1,-1,-1,9636,10152,1817,-828,6153,12663,1222,1837,0,7863,12675,2959,1,3.0
758,759,420000,2,2,2,31,0,0,0,0,-1,-1,25103,21330,16024,9603,2131,64507,1509,1067,3061,2210,64524,2324,0,3.0
762,763,260000,2,2,1,35,-1,-1,-1,-1,-1,0,7967,67650,6000,0,88348,85962,67650,6000,0,88348,5000,25000,0,3.0
765,766,510000,2,1,2,35,-1,0,0,0,0,-1,2115,2116,5560,4535,3488,1116,1117,4560,91,69,1116,2115,0,3.0
770,771,360000,2,2,2,53,-1,-1,-1,-1,-1,-1,10733,15206,15000,9744,11114,8123,15206,15032,9769,11114,8123,8736,0,3.0
771,772,260000,1,1,2,44,-1,-1,-1,-1,-1,-1,316,316,316,316,316,466,316,316,316,316,466,316,0,3.0
780,781,230000,1,1,2,29,0,0,2,2,2,0,40732,44563,42804,44020,41278,34672,5000,0,3000,0,3000,3000,0,3.0
785,786,500000,2,1,2,26,1,-2,-2,-2,-2,-2,31421,22150,0,0,0,0,22157,0,0,0,0,0,0,3.0
786,787,370000,2,1,2,38,-1,-1,-1,-1,-1,-1,929,328,0,1539,1815,0,328,0,1539,1815,0,0,0,3.0
787,788,230000,2,1,1,35,-1,-1,-1,-1,0,0,2648,191,1947,11674,16160,32519,200,1950,11692,10000,20000,6000,0,3.0
792,793,410000,1,1,2,32,-1,-1,-1,-2,-2,-2,5335,5369,-281,-281,-281,-281,5400,0,0,0,0,0,0,3.0
793,794,280000,2,3,1,40,1,-2,-2,-2,-2,-2,-288,-288,-288,-288,-288,2124,0,0,0,0,2412,0,0,3.0
796,797,230000,2,1,2,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
800,801,400000,1,1,2,37,-1,-1,-1,-1,-2,-1,385,12695,1290,0,0,3058,13032,1290,0,0,3058,3768,0,3.0
803,804,230000,2,1,2,28,-1,-1,-1,-2,-2,-2,6666,6666,0,0,0,0,6666,0,0,0,0,0,0,3.0
805,806,300000,2,1,1,36,0,0,0,0,-2,-1,25239,25001,20800,0,0,65755,1713,1000,0,0,65755,3000,0,3.0
811,812,700000,2,1,1,39,0,0,0,0,-2,-1,99259,102345,109636,326,2016,61707,5000,10000,326,2016,61707,17785,0,3.0
813,814,300000,2,3,1,29,-1,0,0,0,0,-1,24921,21333,16212,11304,11396,6138,2000,3000,0,5000,6202,0,0,3.0
830,831,320000,1,1,2,28,-1,0,0,-1,0,0,2007,3477,3037,1633,3633,0,2000,1000,1633,2000,0,3000,0,3.0
832,833,470000,2,2,1,27,0,0,0,0,-1,0,152478,62084,54551,14363,97440,90717,3001,4005,2021,97441,5001,5001,1,3.0
833,834,230000,2,3,2,30,-1,-1,-1,0,0,0,550,0,13013,14265,13659,0,0,13013,1252,3659,0,0,0,3.0
838,839,420000,1,2,1,34,0,0,0,0,0,0,88948,79783,80575,92982,98502,103200,30000,10575,15000,10000,10000,20000,0,3.0
839,840,500000,1,1,1,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
841,842,350000,2,2,1,31,0,0,0,0,0,0,67648,68557,63179,57987,53948,39965,3039,2047,1750,1703,1721,784,0,3.0
845,846,490000,2,1,1,38,-1,-1,-1,-1,-1,0,4290,4738,2803,6027,10722,8452,4738,2803,6027,10722,6000,1139,0,3.0
846,847,300000,2,2,1,34,-2,-2,-2,-2,-2,-2,205064,-86,-86,2014,-185,1815,0,0,2100,0,2000,5000,0,3.0
861,862,260000,1,1,1,41,-2,-2,-1,0,0,0,1086,2853,38836,45087,47201,46199,3552,38836,20000,15000,15000,10000,0,3.0
872,873,500000,2,3,1,38,-2,-2,-2,-2,-2,-2,13655,8351,2340,2340,11435,189,8351,2340,2340,11435,189,5391,0,3.0
877,878,280000,2,2,2,27,-1,-1,-1,-1,-1,-1,5924,5174,980,3058,3158,9530,5174,1078,3058,3158,9530,0,0,3.0
886,887,310000,1,1,2,30,-2,-2,-2,-2,-2,-2,1544,1648,1284,1088,892,-304,1300,1000,1000,1000,304,39544,0,3.0
891,892,400000,1,2,2,37,1,1,1,2,0,0,13611,15066,15882,12599,18599,12284,3019,5014,3,7040,2006,2005,0,3.0
894,895,240000,2,2,1,37,-1,-1,-2,-2,-2,-2,238,0,0,0,0,0,0,0,0,0,0,0,1,3.0
900,901,360000,1,1,2,30,-2,-1,-1,-2,-2,-2,0,2500,0,0,0,0,2500,0,0,0,0,0,0,3.0
909,910,360000,2,1,2,27,0,-1,0,-1,-1,-1,79837,27456,68117,39105,54456,46153,27465,50154,39105,54456,46153,40000,0,3.0
916,917,350000,1,1,1,48,0,0,0,0,0,0,54969,47978,48631,48351,47939,33827,2087,1989,1591,1466,2000,1500,0,3.0
920,921,260000,2,1,2,33,1,-2,-2,-2,-1,-1,0,0,0,0,1980,2500,0,0,0,1980,2500,0,0,3.0
930,931,260000,2,2,2,24,0,0,0,0,0,0,68411,60386,48663,50998,53835,56728,2500,4000,4000,3835,3805,3000,0,3.0
931,932,320000,1,1,1,60,-1,-1,-1,-1,0,-1,9955,3465,84421,886,11741,4317,3465,84440,886,11533,4317,52466,1,3.0
937,938,240000,1,1,2,34,1,2,-1,-1,0,-1,11874,5979,6938,41858,10416,1711,0,6938,41877,0,1711,27162,0,3.0
942,943,330000,2,1,1,37,-1,-1,-1,-1,0,-1,4785,3403,0,5882,5882,1013,3523,0,5882,0,1013,0,0,3.0
945,946,360000,2,1,2,29,0,0,-1,-1,-1,-1,15854,8174,1004,1004,646,3508,1000,1004,1004,646,3508,0,0,3.0
952,953,500000,2,3,2,42,-2,-1,-1,0,0,0,10889,26146,104279,103945,101945,90193,29987,104279,2085,1130,45551,0,0,3.0
958,959,350000,1,1,2,35,-1,-1,-1,0,0,0,4439,33720,14283,16426,10833,2261,33891,16267,4027,234,1565,26346,0,3.0
959,960,250000,1,1,2,41,-1,-1,-1,0,-1,-1,1338,-24,8324,5872,23020,2367,0,8348,0,23020,2367,3117,1,3.0
960,961,380000,1,1,2,43,1,2,2,-2,-2,-2,8201,7882,-2,-2,-2,-2,39,0,0,0,0,0,1,3.0
970,971,300000,1,1,1,42,-1,0,0,-1,0,0,11973,61834,25145,37666,19453,10492,20979,5000,37676,8808,2000,2709,1,3.0
982,983,500000,1,1,2,36,-2,-2,-2,-2,-2,-2,45106,81264,18122,27229,21462,27911,81690,18225,27365,21570,28050,17397,1,3.0
987,988,380000,1,3,1,53,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
